conv_model,video_name,epsilon,frame_num,target,success,average_count,success_rate,time
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,0,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,1,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,2,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,3,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,4,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,5,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,6,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,7,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,8,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,9,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,10,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,11,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,12,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,13,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,14,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,15,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,16,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,17,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,18,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,19,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,20,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,21,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,22,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,23,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,24,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,25,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,26,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,27,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,28,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,29,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,30,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,31,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,32,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,33,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,34,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,35,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,36,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,37,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,38,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,39,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,40,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,41,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,42,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,43,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,44,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,45,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,46,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,47,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,48,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,49,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,50,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,51,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,52,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,53,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,54,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,55,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,56,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,57,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,58,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,59,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,60,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,61,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,62,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,63,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,64,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,65,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,66,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,67,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,68,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,69,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,70,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,71,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,72,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,73,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,74,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,75,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,76,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,77,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,78,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,79,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,80,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,81,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,82,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,83,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,84,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,85,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,86,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,87,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,88,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,89,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,90,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,91,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,92,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,93,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,94,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,95,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,96,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,97,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,98,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,99,217,True,1.0,1.0,
vgg16,AJJ-iQkbRNE_97_109.avi,0.0625,99,217,True,1.0,1.0,2.12784743309021
